entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-eb0293a3f6363da659f0	myth	noun	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-ca664495562e116ad7fd	naked	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-7d0892944dd1a222c089	namely	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	а саме; тобто	Oxford 5000 POS/CEFR confirmed; OALD sense introduces more exact/detailed information; Ukrainian equivalents source-checked 2026-08-19.
ox5000-eaf77b1718fca00cabc4	nasty	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-eefcdfb61a3ea7733baa	nationwide	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	загальнонаціональний; загальнодержавний	Oxford 5000 POS/CEFR confirmed; OALD adjective means happening or existing in all parts of a country; Ukrainian coverage source-checked 2026-08-19.
ox5000-f80da0dd99c37eb568e8	naval	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	військово-морський	Oxford 5000 POS/CEFR confirmed; OALD adjective means connected with a country's navy; Ukrainian equivalent source-checked 2026-08-19.
ox5000-a7e7e5c0e8c0362d940b	navigation	noun	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-bae778e1e5cbc9051458	nearby	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-da0cb9ca5a47ecb6d6e8	nearby	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-402cea7517ed030499a7	necessity	noun	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-a21e9181282a77c625ea	neglect	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-7830d38e2392880eb3ad	neglect	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-b8f8352089b967728585	negotiate	verb	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-02bd18291c9215e02632	negotiation	noun	B2	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
ox5000-a5ffff11f718c1003048	neighbouring	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	ambiguous_source		Candidate discovery only from ittuann/The-Oxford-5000-Word-Lists; official Oxford union confirms POS/CEFR 2026-08-19; exact Oxford5000-exclusive attribute still requires official reconciliation, so runtime activation is blocked.
